epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,18851.1,0.73763,0.41793,0.8803,0.99816,0.99828,0.99449,0.92527,0.37612,0.88373,0.77487,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,19324.3,0.73248,0.41429,0.8791,0.9983,0.99817,0.99448,0.92671,0.37427,1.02592,0.77453,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,19798.8,0.72972,0.41388,0.87851,0.99829,0.99822,0.99449,0.92705,0.37221,0.91756,0.77411,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,20307.5,0.72608,0.41172,0.87737,0.99825,0.99826,0.99448,0.92717,0.37166,0.74428,0.77404,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,21258.7,0.72286,0.40973,0.8766,0.99823,0.99827,0.99449,0.92849,0.36978,0.65238,0.77368,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,21788.9,0.71771,0.40663,0.87514,0.99827,0.9982,0.9945,0.92916,0.36863,0.65354,0.77348,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,23177,0.71308,0.40473,0.8742,0.99825,0.99821,0.99451,0.92985,0.36679,0.64273,0.77311,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,23690.6,0.71032,0.40414,0.87395,0.99825,0.99823,0.99452,0.93036,0.36597,0.62465,0.77283,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,24702.1,0.70696,0.40235,0.87307,0.99825,0.99827,0.99452,0.93064,0.36472,0.62541,0.77261,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,25177.6,0.70416,0.40019,0.87193,0.9982,0.99833,0.99452,0.93084,0.36331,0.60623,0.77232,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,25653.2,0.70059,0.39861,0.87094,0.99816,0.99837,0.99452,0.93163,0.36234,0.56988,0.77211,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,26128.5,0.70286,0.3998,0.87201,0.99816,0.99836,0.99453,0.93196,0.3611,0.56221,0.77193,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,26608.3,0.69698,0.39644,0.87033,0.99817,0.99836,0.99453,0.93214,0.3597,0.56028,0.77167,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,27085.1,0.69341,0.39563,0.86932,0.99818,0.99836,0.99453,0.93227,0.35924,0.54814,0.77152,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,27560.6,0.69193,0.39652,0.86953,0.99817,0.99839,0.99453,0.93309,0.35827,0.54955,0.77134,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,28033.9,0.68438,0.39087,0.8675,0.99818,0.99839,0.99453,0.9332,0.35773,0.54798,0.77125,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,28507.6,0.68572,0.39077,0.8672,0.99819,0.9984,0.99454,0.93341,0.35689,0.54432,0.77111,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,28982.5,0.68081,0.38861,0.86614,0.99818,0.99842,0.99453,0.93413,0.35605,0.54288,0.77093,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,29459.2,0.68116,0.38954,0.86664,0.99818,0.99842,0.99454,0.93452,0.35522,0.5391,0.77075,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,29934.5,0.67526,0.38478,0.8646,0.99818,0.99841,0.99454,0.93503,0.35427,0.54258,0.77058,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,30409.2,0.67354,0.38506,0.86522,0.99818,0.9984,0.99454,0.93503,0.35392,0.55714,0.77053,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,30885.1,0.67305,0.38566,0.86519,0.99817,0.99843,0.99454,0.93528,0.35319,0.55644,0.77042,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,31365.2,0.66834,0.38288,0.86291,0.99819,0.9984,0.99454,0.93537,0.35267,0.56956,0.77032,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,31838.6,0.66388,0.38119,0.86244,0.9982,0.99843,0.99455,0.93577,0.35178,0.58102,0.77013,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,32314,0.66359,0.38112,0.86237,0.9982,0.99843,0.99455,0.93587,0.35124,0.59049,0.77001,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
