epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
33,12898.2,0.99939,0.57751,0.94623,0.98466,0.99486,0.9938,0.86186,0.56819,69.6023,0.80204,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13274.3,0.99707,0.57415,0.94522,0.98457,0.99496,0.99366,0.86505,0.55755,73.9909,0.80027,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13644.6,0.99744,0.57559,0.94568,0.9852,0.99548,0.99375,0.86766,0.54663,70.0648,0.79893,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14014.1,0.9885,0.57158,0.94303,0.98538,0.99559,0.99385,0.86789,0.54857,67.9326,0.79877,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14387.1,0.98524,0.56807,0.94157,0.98544,0.99542,0.99383,0.86861,0.54428,65.2433,0.79793,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,14776.9,0.97856,0.56328,0.9396,0.99138,0.99126,0.99405,0.86968,0.54091,53.0939,0.79696,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15241.4,0.97746,0.56339,0.93923,0.99172,0.99157,0.99412,0.87156,0.53586,48.0284,0.79579,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15652,0.97599,0.56113,0.9384,0.99136,0.99179,0.99411,0.87221,0.53665,50.6362,0.79571,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16036.6,0.97015,0.55888,0.93747,0.99243,0.99264,0.99415,0.8726,0.53391,46.2392,0.79525,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,368.104,0.96347,0.55578,0.93584,0.99178,0.99257,0.99414,0.87366,0.53083,47.9299,0.7947,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,779.705,0.96705,0.55596,0.93566,0.99244,0.99287,0.99417,0.87447,0.52658,41.5546,0.794,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,1608.22,0.95944,0.55343,0.93443,0.99238,0.99349,0.99419,0.87603,0.52162,37.6731,0.79311,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2020.83,0.9573,0.55181,0.93402,0.99301,0.99385,0.99423,0.87712,0.5193,32.6287,0.79271,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2398.21,0.9563,0.5513,0.93413,0.99304,0.9942,0.99421,0.87713,0.51894,29.5749,0.79254,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2848.36,0.95332,0.55022,0.93246,0.99318,0.9945,0.99422,0.8783,0.51727,27.694,0.79209,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,412.476,0.92383,0.53087,0.92407,0.99326,0.99454,0.99421,0.87821,0.51712,27.543,0.79189,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,800.039,0.93209,0.53383,0.92548,0.99351,0.99465,0.99421,0.87853,0.51565,25.7384,0.79153,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,1172.68,0.92941,0.53453,0.92578,0.99377,0.99465,0.9942,0.87922,0.51349,24.6512,0.79108,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,391.494,0.90244,0.51846,0.91806,0.99372,0.99481,0.9942,0.87915,0.51395,24.4335,0.79102,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,766.992,0.92032,0.52676,0.92194,0.99388,0.99478,0.99419,0.87908,0.51366,23.3941,0.7909,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,1132.42,0.92316,0.53053,0.9241,0.99389,0.99483,0.99419,0.87971,0.512,22.5497,0.79061,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,1489.43,0.93001,0.53506,0.92643,0.99388,0.99505,0.99421,0.88001,0.51149,21.7195,0.79048,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,1847.8,0.93331,0.53713,0.92774,0.99413,0.99509,0.99421,0.88062,0.51025,20.2581,0.79024,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2202.12,0.93488,0.54011,0.92733,0.99419,0.9952,0.99422,0.88074,0.50946,19.5991,0.78999,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2559.97,0.93491,0.5389,0.92721,0.99427,0.99522,0.99422,0.88078,0.50871,18.7405,0.78981,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2914.05,0.92832,0.53577,0.92568,0.99419,0.99534,0.99422,0.88094,0.50774,18.1694,0.78959,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3272.74,0.92429,0.53292,0.92442,0.99416,0.99545,0.99422,0.88163,0.50668,17.874,0.78933,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3628.19,0.91921,0.53051,0.9234,0.99419,0.99552,0.99423,0.88216,0.50559,17.9041,0.78909,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3984.58,0.91804,0.52948,0.92264,0.99421,0.99558,0.99423,0.88321,0.50465,17.6577,0.78888,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4338.9,0.91445,0.52835,0.92252,0.99427,0.99558,0.99424,0.88357,0.50369,17.3931,0.78865,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4693.79,0.91251,0.52594,0.92126,0.99435,0.99571,0.99424,0.88386,0.50234,16.9493,0.78839,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5047.88,0.909,0.52534,0.92035,0.99443,0.99574,0.99425,0.88407,0.50163,16.6156,0.78821,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5400.32,0.90676,0.52365,0.92,0.99446,0.99577,0.99425,0.88444,0.50077,16.5863,0.78803,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5754.89,0.90443,0.52232,0.91892,0.99449,0.99581,0.99426,0.88457,0.49968,16.2344,0.78779,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6108.71,0.90219,0.52281,0.91867,0.99452,0.99583,0.99426,0.88487,0.49882,16.0642,0.7876,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6470.14,0.90111,0.52025,0.91821,0.99458,0.99586,0.99427,0.885,0.49813,15.7274,0.7875,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6825.15,0.89672,0.51735,0.91688,0.99464,0.99591,0.99427,0.88514,0.49752,15.3005,0.78732,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,7182.06,0.89252,0.51662,0.91598,0.9947,0.99589,0.99427,0.8853,0.49661,15.1929,0.78714,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,7651.6,0.88655,0.51201,0.91447,0.99468,0.99593,0.99427,0.88585,0.49589,15.0263,0.78699,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8004.97,0.88875,0.51424,0.91571,0.99469,0.99597,0.99428,0.886,0.49492,14.7946,0.78682,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8361.72,0.88794,0.51309,0.91446,0.99475,0.99598,0.99428,0.88667,0.49426,14.5484,0.78667,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8715.41,0.88259,0.51008,0.91415,0.99474,0.99606,0.99428,0.88682,0.4934,14.4021,0.78648,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,9468.62,0.8846,0.51193,0.9135,0.99474,0.99604,0.99429,0.88718,0.49285,14.2611,0.78633,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,9825.69,0.87657,0.5066,0.9116,0.99478,0.99605,0.99429,0.88734,0.49204,14.2876,0.78618,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,11167.2,0.87383,0.50769,0.91116,0.99481,0.99603,0.99429,0.88748,0.49119,13.9929,0.78601,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,11526.3,0.87434,0.5065,0.91109,0.99483,0.99606,0.99429,0.88763,0.49036,13.831,0.78584,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,11883.4,0.8749,0.50755,0.91177,0.99485,0.99607,0.9943,0.88775,0.48976,13.5335,0.78569,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,12239.5,0.8678,0.50401,0.90984,0.99494,0.99603,0.9943,0.88797,0.48883,13.2466,0.78555,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,12595.9,0.86642,0.50149,0.90894,0.99492,0.99611,0.9943,0.8887,0.48807,13.2731,0.7854,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,12952.2,0.86158,0.4992,0.90773,0.99501,0.99606,0.99431,0.88883,0.48745,13.0006,0.78524,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
